uuid,timestamp,datetime_utc,date,num_empleado,name,branch,telegram_id,uid_tarjeta,event_type,device_name,status,arquetipo
047d4bc7-2753-0c4a-9136-8ea85bd3494b,1735797900,2025-01-02T06:05:00Z,2025-01-02,EMP014,María López Hernández,Monterrey,1405126228,DBDDE131CA,entrada,Checador_Monterrey_01,success,operador_produccion
622b3588-c275-da34-881e-40c66c8f8833,1735798020,2025-01-02T06:07:00Z,2025-01-02,EMP009,Diana Mendoza Aguilar,Ramos Arizpe,4919706735,964B50AF03,entrada,Checador_RamosArizpe_01,success,operador_produccion
2483c458-4485-2295-1566-8483c5266dc8,1735801200,2025-01-02T07:00:00Z,2025-01-02,EMP007,Patricia Torres Castro,Ramos Arizpe,7483366056,21345D2CCE,entrada,Checador_RamosArizpe_01,success,workaholic
bcc9245c-fd81-fbc0-067e-c672cec3a6f4,1735802700,2025-01-02T07:25:00Z,2025-01-02,EMP006,Roberto Navarro León,Ramos Arizpe,8055995058,48478DCB74,entrada,Checador_RamosArizpe_01,success,workaholic
da36967d-9b2d-ceee-765b-b06910a012b2,1735803060,2025-01-02T07:31:00Z,2025-01-02,EMP011,Luis Ramírez Flores,Monterrey,8128575500,58D669CBEE,entrada,Checador_Monterrey_01,success,supervisor
2b2bb8e9-a417-c093-80a8-a23d17eaec83,1735803120,2025-01-02T07:32:00Z,2025-01-02,EMP002,Carmen Estrada Bravo,Saltillo,2631775357,BB81E3C29B,entrada,Checador_Saltillo_01,success,supervisor
e3be7ca0-5df9-24fb-43d6-43ed236eb832,1735804560,2025-01-02T07:56:00Z,2025-01-02,EMP004,José Rivera Morales,Saltillo,2566942273,BB682575EC,entrada,Checador_Saltillo_01,success,normal
cea8be58-e2ca-e78d-76bd-0773d805ee6a,1735804740,2025-01-02T07:59:00Z,2025-01-02,EMP013,Juan Pérez García,Monterrey,2419179580,78F64F7FD6,entrada,Checador_Monterrey_01,success,puntual
98813adc-ad45-c94d-33ea-df2fe4cd46e1,1735804740,2025-01-02T07:59:00Z,2025-01-02,EMP015,Miguel Vargas Silva,Monterrey,1469306919,66E4D58E72,entrada,Checador_Monterrey_01,success,puntual
533c2ed5-a3fe-0479-46c7-9b36fd053963,1735804860,2025-01-02T08:01:00Z,2025-01-02,EMP003,Laura Ortiz Reyes,Saltillo,3479708607,2179273C8E,entrada,Checador_Saltillo_01,success,normal
